Metric,Value
AHI Score,78.03502008224201
Total Events,6.379746835443038
Hypopnea,3.645569620253165
All Apnea,0
Clear Airway,2.430379746835443
Obstructive Apnea,0.3037974683544304
Unidentified Apnea,0
