Timestamp_ET,Pressure_cmH2O,EPAP_cmH2O
2026-03-14 22:32:25.000,5.8,5.8
2026-03-15 06:20:00.000,5.8,5.8
2026-03-15 06:20:15.000,5.8,5.8
